NOME_SOLU|VAL_SOLUCAO_INICIAL|QTD_TROCAS_SOL_INCIAL|VAL_SOLUCAO_POS_REFI|QTD_TROCAS_POS_REFI|QTD_ITERACOES|HOUVE_MELHORA|TEMPO_HC|TEMPO_REF|TEMPO_TOTAL 
instanceLarge1000_m=7_n=200_l=30_c=20_s=0|1693|1175|1686|1149|35|sim|71,8664|4,65302|76,6375
instanceLarge1001_m=7_n=200_l=30_c=20_s=1|12972|1239|10718|993|94|sim|91,8397|16,0923|108,036
instanceLarge1002_m=7_n=200_l=30_c=20_s=2|998|1076|998|1076|26|não|57,5557|2,9159|60,5777
instanceLarge1003_m=7_n=200_l=30_c=20_s=0|5630|1216|4605|939|84|sim|83,6396|16,1484|99,8883
instanceLarge1004_m=7_n=200_l=30_c=20_s=1|12825|1219|10494|961|81|sim|83,8266|15,3701|99,2974
instanceLarge1005_m=7_n=200_l=30_c=20_s=2|1031|1084|1028|1069|30|sim|58,5814|3,58587|62,2765
instanceLarge1006_m=7_n=200_l=30_c=20_s=0|8874|1255|8435|1174|36|sim|94,2694|5,80715|100,196
instanceLarge1007_m=7_n=200_l=30_c=20_s=1|13073|1253|9200|853|231|sim|93,939|34,9637|128,993
instanceLarge1008_m=7_n=200_l=30_c=20_s=2|1004|1105|1004|1105|26|não|67,179|3,1136|70,4061
instanceLarge1009_m=7_n=200_l=30_c=20_s=0|1875|1162|1875|1162|25|não|75,0712|3,00021|78,1853
instanceLarge1010_m=7_n=200_l=30_c=20_s=1|12924|1227|10501|978|88|sim|92,3473|16,069|108,519
instanceLarge1011_m=7_n=200_l=30_c=20_s=2|1029|1079|1025|1058|50|sim|64,3312|6,12603|70,5682
instanceLarge1012_m=7_n=200_l=30_c=20_s=0|4257|1237|4208|1170|31|sim|88,3228|4,67434|93,1163
instanceLarge1013_m=7_n=200_l=30_c=20_s=1|13304|1261|9070|836|196|sim|94,1103|32,9439|127,139
instanceLarge1014_m=7_n=200_l=30_c=20_s=2|1027|1088|1023|1083|31|sim|63,2971|3,72686|67,1338
instanceLarge1015_m=7_n=200_l=30_c=20_s=0|4098|1250|4096|1240|36|sim|88,5494|4,73799|93,4097
instanceLarge1016_m=7_n=200_l=30_c=20_s=1|13037|1234|10605|994|79|sim|92,6933|14,1129|106,912
instanceLarge1017_m=7_n=200_l=30_c=20_s=2|1005|1082|1005|1082|26|não|62,324|3,01423|65,449
instanceLarge1018_m=7_n=200_l=30_c=20_s=0|11113|1226|7756|836|177|sim|93,237|28,3559|121,679
instanceLarge1019_m=7_n=200_l=30_c=20_s=1|12883|1226|10354|966|73|sim|92,7028|14,2817|107,087
instanceLarge1020_m=7_n=200_l=30_c=20_s=2|960|1061|960|1061|26|não|64,1794|2,97218|67,2607
instanceLarge1021_m=7_n=200_l=40_c=20_s=0|7073|1236|5518|925|118|sim|64,2163|14,1555|78,4346
instanceLarge1022_m=7_n=200_l=40_c=20_s=1|13065|1230|9303|864|165|sim|64,4362|18,8447|83,3446
instanceLarge1023_m=7_n=200_l=40_c=20_s=2|996|1118|989|1101|85|sim|42,1509|7,27571|49,5059
instanceLarge1024_m=7_n=200_l=40_c=20_s=0|3714|1234|3211|1004|68|sim|63,4191|8,82419|72,316
instanceLarge1025_m=7_n=200_l=40_c=20_s=1|13154|1247|8882|822|474|sim|66,3593|40,4899|106,906
instanceLarge1026_m=7_n=200_l=40_c=20_s=2|1021|1109|1021|1109|26|não|43,929|2,18045|46,1897
instanceLarge1027_m=7_n=200_l=40_c=20_s=0|11071|1245|8967|980|103|sim|67,3863|13,2146|80,67
instanceLarge1028_m=7_n=200_l=40_c=20_s=1|13060|1245|9587|896|270|sim|67,5379|27,5787|95,1794
instanceLarge1029_m=7_n=200_l=40_c=20_s=2|972|1156|972|1156|26|não|48,5224|2,28695|50,8939
instanceLarge1030_m=7_n=200_l=40_c=20_s=0|10723|1243|8140|942|175|sim|67,722|18,1771|85,9632
instanceLarge1031_m=7_n=200_l=40_c=20_s=1|13313|1243|9346|871|281|sim|68,0775|26,6765|94,8131
instanceLarge1032_m=7_n=200_l=40_c=20_s=2|1005|1122|999|1103|37|sim|43,1774|3,28416|46,5411
instanceLarge1033_m=7_n=200_l=40_c=20_s=0|1770|1198|1740|1166|63|sim|52,7402|6,32102|59,149
instanceLarge1034_m=7_n=200_l=40_c=20_s=1|13275|1234|10992|1030|74|sim|68,9646|9,36036|78,3976
instanceLarge1035_m=7_n=200_l=40_c=20_s=2|1054|1126|1052|1107|28|sim|43,7249|2,51885|46,3257
instanceLarge1036_m=7_n=200_l=40_c=20_s=0|10327|1234|10136|1165|33|sim|67,0511|3,62169|70,7571
instanceLarge1037_m=7_n=200_l=40_c=20_s=1|13012|1230|8779|801|373|sim|66,6277|33,607|100,292
instanceLarge1038_m=7_n=200_l=40_c=20_s=2|1046|1126|1044|1117|70|sim|49,1637|6,06549|55,3119
instanceLarge1039_m=7_n=200_l=40_c=20_s=0|6865|1214|6573|1134|48|sim|60,5919|5,31914|65,9955
instanceLarge1040_m=7_n=200_l=40_c=20_s=1|13037|1234|9065|830|288|sim|64,2958|28,5929|92,943
instanceLarge1041_m=7_n=200_l=40_c=20_s=2|1089|1111|1087|1098|34|sim|43,9695|3,03433|47,0824
instanceLarge1042_m=7_n=200_l=40_c=20_s=0|5375|1236|5327|1166|32|sim|67,3248|3,5017|70,9132
instanceLarge1043_m=7_n=200_l=40_c=20_s=1|12820|1224|9330|879|215|sim|67,3007|21,7332|89,094
instanceLarge1044_m=7_n=200_l=40_c=20_s=2|919|1139|910|1093|85|sim|48,4633|7,86886|56,4155
instanceLarge1045_m=7_n=200_l=40_c=20_s=0|2461|1219|2225|1031|62|sim|60,5662|7,49884|68,1398
instanceLarge1046_m=7_n=200_l=40_c=20_s=1|13085|1246|11160|1039|57|sim|67,137|7,1929|74,4032
instanceLarge1047_m=7_n=200_l=40_c=20_s=2|1033|1113|1033|1113|25|não|42,5761|2,05945|44,7135
instanceLarge1048_m=7_n=200_l=40_c=20_s=0|7114|1230|5584|936|153|sim|67,5494|17,1057|84,7177
instanceLarge1049_m=7_n=200_l=40_c=20_s=1|13297|1253|9319|850|299|sim|65,9218|29,2178|95,2019
instanceLarge1050_m=7_n=200_l=40_c=20_s=2|1044|1120|1040|1111|41|sim|43,7051|3,96341|47,754
instanceLarge1051_m=7_n=200_l=40_c=30_s=0|13412|1532|9369|1060|248|sim|269,819|124,417|394,522
instanceLarge1052_m=7_n=200_l=40_c=30_s=1|15631|1507|11618|1094|148|sim|269,269|85,3235|354,871
instanceLarge1053_m=7_n=200_l=40_c=30_s=2|1064|1355|1058|1349|29|sim|195,143|12,1279|207,649
instanceLarge1054_m=7_n=200_l=40_c=30_s=0|1912|1450|1876|1403|43|sim|229,252|19,4562|249,074
instanceLarge1055_m=7_n=200_l=40_c=30_s=1|16204|1549|12519|1187|104|sim|278,99|67,802|347,109
instanceLarge1056_m=7_n=200_l=40_c=30_s=2|1044|1336|1042|1332|42|sim|192,44|15,7994|208,583
instanceLarge1057_m=7_n=200_l=40_c=30_s=0|7183|1525|6366|1324|91|sim|274,978|48,278|323,621
instanceLarge1058_m=7_n=200_l=40_c=30_s=1|15718|1525|10936|1037|321|sim|282,66|152,124|435,055
instanceLarge1059_m=7_n=200_l=40_c=30_s=2|1006|1366|1005|1362|36|sim|203,741|13,9512|218,054
instanceLarge1060_m=7_n=200_l=40_c=30_s=0|8742|1521|7672|1311|77|sim|272,068|42,7665|315,181
instanceLarge1061_m=7_n=200_l=40_c=30_s=1|15804|1536|12455|1188|83|sim|270,456|53,6777|324,44
instanceLarge1062_m=7_n=200_l=40_c=30_s=2|1005|1346|1003|1342|31|sim|196,203|11,6743|208,223
instanceLarge1063_m=7_n=200_l=40_c=30_s=0|12075|1518|8750|1071|203|sim|276,849|112,949|390,102
instanceLarge1064_m=7_n=200_l=40_c=30_s=1|15992|1538|12220|1159|128|sim|279,695|75,5034|355,506
instanceLarge1065_m=7_n=200_l=40_c=30_s=2|1048|1320|1044|1312|54|sim|197,418|20,0462|217,805
instanceLarge1066_m=7_n=200_l=40_c=30_s=0|2207|1458|2183|1443|31|sim|225,15|12,8381|238,371
instanceLarge1067_m=7_n=200_l=40_c=30_s=1|16215|1539|14350|1361|53|sim|274,87|32,2721|307,514
instanceLarge1068_m=7_n=200_l=40_c=30_s=2|1117|1370|1116|1364|37|sim|197,886|14,0527|212,293
instanceLarge1069_m=7_n=200_l=40_c=30_s=0|9416|1537|7837|1264|62|sim|272,747|40,5824|313,684
instanceLarge1070_m=7_n=200_l=40_c=30_s=1|15697|1507|11951|1135|229|sim|280,55|109,191|390,03
instanceLarge1071_m=7_n=200_l=40_c=30_s=2|1056|1360|1056|1360|27|não|199,916|9,79495|210,053
instanceLarge1072_m=7_n=200_l=40_c=30_s=0|8674|1529|6786|1146|116|sim|269,981|69,3471|339,641
instanceLarge1073_m=7_n=200_l=40_c=30_s=1|15716|1514|11567|1085|166|sim|277,81|93,598|371,721
instanceLarge1074_m=7_n=200_l=40_c=30_s=2|1069|1346|1069|1346|27|não|193,303|9,91422|203,568
instanceLarge1075_m=7_n=200_l=40_c=30_s=0|7135|1500|5945|1213|97|sim|266,82|58,6919|325,823
instanceLarge1076_m=7_n=200_l=40_c=30_s=1|15670|1514|11507|1088|181|sim|274,488|102,612|377,395
instanceLarge1077_m=7_n=200_l=40_c=30_s=2|1054|1335|1049|1313|58|sim|201,148|22,8081|224,298
instanceLarge1078_m=7_n=200_l=40_c=30_s=0|13669|1533|9337|1027|277|sim|277,785|137,181|415,232
instanceLarge1079_m=7_n=200_l=40_c=30_s=1|16144|1533|11466|1082|193|sim|279,159|110,683|390,135
instanceLarge1080_m=7_n=200_l=40_c=30_s=2|1063|1317|1063|1317|27|não|201,591|10,4246|212,386
instanceLarge1081_m=8_n=200_l=30_c=10_s=0|2271|857|2210|833|29|sim|11,6981|0,698147|12,4157
instanceLarge1082_m=8_n=200_l=30_c=10_s=1|8308|878|6861|710|83|sim|12,2821|2,53729|14,8357
instanceLarge1083_m=8_n=200_l=30_c=10_s=2|822|804|822|804|23|não|8,67867|0,442004|9,13881
instanceLarge1084_m=8_n=200_l=30_c=10_s=0|4725|857|4056|719|100|sim|12,4782|2,85076|15,3465
instanceLarge1085_m=8_n=200_l=30_c=10_s=1|8251|875|7328|754|75|sim|12,8509|2,06618|14,9346
instanceLarge1086_m=8_n=200_l=30_c=10_s=2|881|798|881|798|23|não|9,22712|0,43175|9,67651
instanceLarge1087_m=8_n=200_l=30_c=10_s=0|1816|868|1791|857|24|sim|10,8374|0,551681|11,4087
instanceLarge1088_m=8_n=200_l=30_c=10_s=1|8193|874|7287|769|52|sim|12,0146|1,63183|13,6652
instanceLarge1089_m=8_n=200_l=30_c=10_s=2|801|800|801|800|23|não|9,43063|0,466329|9,91658
instanceLarge1090_m=8_n=200_l=30_c=10_s=0|3175|874|2961|791|53|sim|12,1218|1,49966|13,6399
instanceLarge1091_m=8_n=200_l=30_c=10_s=1|8326|875|7847|809|32|sim|12,571|0,890561|13,4804
instanceLarge1092_m=8_n=200_l=30_c=10_s=2|838|805|835|796|30|sim|9,31951|0,613725|9,95076
instanceLarge1093_m=8_n=200_l=30_c=10_s=0|3216|874|2946|775|52|sim|11,7765|1,46196|13,2569
instanceLarge1094_m=8_n=200_l=30_c=10_s=1|8318|875|7450|772|52|sim|12,4269|1,52394|13,9691
instanceLarge1095_m=8_n=200_l=30_c=10_s=2|860|810|860|810|22|não|9,38206|0,436362|9,83703
instanceLarge1096_m=8_n=200_l=30_c=10_s=0|5194|883|5143|857|32|sim|12,922|0,746942|13,6885
instanceLarge1097_m=8_n=200_l=30_c=10_s=1|8268|877|6474|664|146|sim|12,6639|4,12029|16,7999
instanceLarge1098_m=8_n=200_l=30_c=10_s=2|840|812|840|812|23|não|9,8271|0,453755|10,2993
instanceLarge1099_m=8_n=200_l=30_c=10_s=0|5530|857|4559|673|127|sim|12,0977|3,6985|15,8127
instanceLarge1100_m=8_n=200_l=30_c=10_s=1|8199|859|7676|798|33|sim|12,0492|0,880943|12,9486
instanceLarge1101_m=8_n=200_l=30_c=10_s=2|862|781|862|781|22|não|9,63697|0,418183|10,0732
instanceLarge1102_m=8_n=200_l=30_c=10_s=0|2930|867|2431|657|120|sim|11,3582|3,32177|14,6956
instanceLarge1103_m=8_n=200_l=30_c=10_s=1|8332|879|6805|699|105|sim|11,7754|3,01532|14,8072
instanceLarge1104_m=8_n=200_l=30_c=10_s=2|839|797|839|797|22|não|9,16091|0,440966|9,62083
instanceLarge1105_m=8_n=200_l=30_c=10_s=0|6612|868|5184|659|112|sim|11,5774|3,52416|15,1182
instanceLarge1106_m=8_n=200_l=30_c=10_s=1|8153|862|6817|697|103|sim|11,5836|3,01429|14,6141
instanceLarge1107_m=8_n=200_l=30_c=10_s=2|866|795|866|795|22|não|9,28434|0,433089|9,73589
instanceLarge1108_m=8_n=200_l=30_c=10_s=0|4837|877|4796|857|30|sim|12,244|0,698921|12,9624
instanceLarge1109_m=8_n=200_l=30_c=10_s=1|8216|857|7440|762|37|sim|12,4223|1,03594|13,4759
instanceLarge1110_m=8_n=200_l=30_c=10_s=2|847|799|843|794|24|sim|9,42555|0,468473|9,91162
instanceLarge1111_m=8_n=200_l=30_c=20_s=0|9292|1286|7786|1062|62|sim|81,5613|13,1853|94,8617
instanceLarge1112_m=8_n=200_l=30_c=20_s=1|11852|1288|8964|957|133|sim|82,6937|25,9945|108,792
instanceLarge1113_m=8_n=200_l=30_c=20_s=2|905|1104|904|1101|45|sim|59,1258|5,64106|64,8845
instanceLarge1114_m=8_n=200_l=30_c=20_s=0|9270|1276|7065|955|105|sim|82,0011|21,0436|103,153
instanceLarge1115_m=8_n=200_l=30_c=20_s=1|11497|1247|11331|1198|26|sim|82,7709|4,48261|87,3849
instanceLarge1116_m=8_n=200_l=30_c=20_s=2|871|1092|867|1081|58|sim|58,8131|7,23019|66,1575
instanceLarge1117_m=8_n=200_l=30_c=20_s=0|4234|1249|4198|1173|29|sim|80,6104|4,90788|85,6449
instanceLarge1118_m=8_n=200_l=30_c=20_s=1|11887|1286|8078|854|241|sim|83,9897|39,4046|123,485
instanceLarge1119_m=8_n=200_l=30_c=20_s=2|916|1124|913|1114|36|sim|61,154|4,7091|65,9801
