NOME_SOLU|VAL_SOLUCAO_INICIAL|VAL_SOLUCAO_POS_REFI|QTD_ITERACOES|TEMPO_HC|TEMPO_REF|TEMPO_TOTAL 
instanceLarge422_m=4_n=100_l=40_c=20_s=1|11404|11589|10|12.1836|0.834288|13.0694
instanceLarge423_m=4_n=100_l=40_c=20_s=2|881|882|23|9.70897|1.71038|11.4673
instanceLarge424_m=4_n=100_l=40_c=20_s=0|6311|6370|11|12.9572|0.971292|13.982
instanceLarge425_m=4_n=100_l=40_c=20_s=1|11278|11077|100|12.6182|8.94243|21.624
instanceLarge426_m=4_n=100_l=40_c=20_s=2|881|881|34|9.49371|2.68129|12.2267
instanceLarge427_m=4_n=100_l=40_c=20_s=0|3638|3614|58|12.2418|5.03076|17.3299
instanceLarge428_m=4_n=100_l=40_c=20_s=1|11331|11334|23|12.5512|1.91978|14.5249
instanceLarge429_m=4_n=100_l=40_c=20_s=2|914|914|9|9.76561|0.722515|10.5356
instanceLarge430_m=4_n=100_l=40_c=20_s=0|5835|5669|58|12.2243|5.04896|17.3315
instanceLarge431_m=4_n=100_l=40_c=20_s=1|11294|11294|24|12.1523|1.91217|14.1173
instanceLarge432_m=4_n=100_l=40_c=20_s=2|869|868|34|9.82448|2.6494|12.5251
instanceLarge433_m=4_n=100_l=40_c=20_s=0|2928|2941|2|12.1079|0.254742|12.4157
instanceLarge434_m=4_n=100_l=40_c=20_s=1|11807|11821|24|12.941|2.15854|15.1552
instanceLarge435_m=4_n=100_l=40_c=20_s=2|988|990|6|9.63696|0.528588|10.2139
instanceLarge436_m=4_n=100_l=40_c=20_s=0|4012|4033|3|12.1823|0.337709|12.5714
instanceLarge437_m=4_n=100_l=40_c=20_s=1|11285|11489|24|12.7567|1.98828|14.7987
instanceLarge438_m=4_n=100_l=40_c=20_s=2|852|852|10|9.49742|0.817639|10.3612
instanceLarge439_m=4_n=100_l=40_c=20_s=0|7219|7296|24|12.4975|1.98219|14.5335
instanceLarge440_m=4_n=100_l=40_c=20_s=1|11211|11211|26|12.3366|2.06477|14.4531
instanceLarge441_m=4_n=100_l=40_c=20_s=2|950|951|10|8.95622|0.752732|9.75323
instanceLarge442_m=4_n=100_l=40_c=20_s=0|6528|6528|24|11.7448|1.91193|13.7097
instanceLarge443_m=4_n=100_l=40_c=20_s=1|11384|11264|72|12.2223|6.03782|18.3171
instanceLarge444_m=4_n=100_l=40_c=20_s=2|902|903|21|9.2977|1.53826|10.8833
instanceLarge445_m=4_n=100_l=40_c=20_s=0|5882|5914|25|12.3464|2.09039|14.4918
instanceLarge446_m=4_n=100_l=40_c=20_s=1|11442|11379|46|12.7769|3.90961|16.7431
instanceLarge447_m=4_n=100_l=40_c=20_s=2|856|857|24|9.80567|1.74347|11.5969
instanceLarge448_m=4_n=100_l=40_c=20_s=0|5167|5213|9|12.7052|0.796862|13.5549
instanceLarge449_m=4_n=100_l=40_c=20_s=1|11631|11446|48|12.8377|4.13658|17.0319
instanceLarge450_m=4_n=100_l=40_c=20_s=2|871|871|24|9.80339|1.82058|11.6723
instanceLarge451_m=4_n=100_l=40_c=30_s=0|9233|9263|24|41.7493|6.6326|48.5682
instanceLarge452_m=4_n=100_l=40_c=30_s=1|13841|13841|24|41.7311|6.58252|48.4899
instanceLarge453_m=4_n=100_l=40_c=30_s=2|936|936|24|34.8847|6.04744|41.1066
instanceLarge454_m=4_n=100_l=40_c=30_s=0|3580|3565|50|37.4542|13.5988|51.2526
instanceLarge455_m=4_n=100_l=40_c=30_s=1|14093|14093|24|41.3594|6.66605|48.2195
instanceLarge456_m=4_n=100_l=40_c=30_s=2|830|831|24|33.0583|5.97352|39.1911
instanceLarge457_m=4_n=100_l=40_c=30_s=0|8569|8609|24|40.9987|6.48977|47.6765
instanceLarge458_m=4_n=100_l=40_c=30_s=1|14165|14232|24|52.8717|6.80109|59.8856
instanceLarge459_m=4_n=100_l=40_c=30_s=2|904|904|19|33.0734|4.85221|38.1167
instanceLarge460_m=4_n=100_l=40_c=30_s=0|8286|8286|24|41.1188|6.76912|48.0956
instanceLarge461_m=4_n=100_l=40_c=30_s=1|14240|14240|24|41.6035|6.68813|48.4813
instanceLarge462_m=4_n=100_l=40_c=30_s=2|944|944|24|33.2391|6.09279|39.5035
instanceLarge463_m=4_n=100_l=40_c=30_s=0|6836|6828|48|40.8284|13.4226|54.4512
instanceLarge464_m=4_n=100_l=40_c=30_s=1|14212|14144|48|42.5123|13.6114|56.3496
instanceLarge465_m=4_n=100_l=40_c=30_s=2|884|884|24|34.7182|6.20761|41.1022
instanceLarge466_m=4_n=100_l=40_c=30_s=0|2409|2385|48|37.8643|13.2431|51.2991
instanceLarge467_m=4_n=100_l=40_c=30_s=1|14129|14129|24|53.9773|6.56419|60.7169
instanceLarge468_m=4_n=100_l=40_c=30_s=2|1031|1030|48|33.0589|12.3411|45.5894
instanceLarge469_m=4_n=100_l=40_c=30_s=0|6743|6743|24|41.3935|6.69276|48.2978
instanceLarge470_m=4_n=100_l=40_c=30_s=1|14057|14057|25|41.2975|6.97254|48.4893
instanceLarge471_m=4_n=100_l=40_c=30_s=2|981|979|48|41.6783|14.249|56.122
instanceLarge472_m=4_n=100_l=40_c=30_s=0|2842|2820|48|38.6333|13.6609|52.4892
instanceLarge473_m=4_n=100_l=40_c=30_s=1|14621|14621|25|41.5578|6.90976|48.6558
instanceLarge474_m=4_n=100_l=40_c=30_s=2|871|872|24|35.1|6.19233|41.4645
instanceLarge475_m=4_n=100_l=40_c=30_s=0|2692|2682|72|39.4229|22.2043|61.8482
instanceLarge476_m=4_n=100_l=40_c=30_s=1|14497|14361|72|50.1696|21.1665|71.5556
instanceLarge477_m=4_n=100_l=40_c=30_s=2|904|904|24|41.4106|6.85042|48.4634
instanceLarge478_m=4_n=100_l=40_c=30_s=0|8270|8194|48|41.0344|13.2359|54.4696
instanceLarge479_m=4_n=100_l=40_c=30_s=1|14251|14251|24|49.7407|6.39722|56.3149
instanceLarge480_m=4_n=100_l=40_c=30_s=2|961|961|24|33.83|6.3452|40.3607
instanceLarge481_m=5_n=100_l=30_c=10_s=0|3013|3013|19|3.63227|0.613996|4.26676
instanceLarge482_m=5_n=100_l=30_c=10_s=1|6810|6829|20|3.70243|0.665034|4.38886
instanceLarge483_m=5_n=100_l=30_c=10_s=2|666|667|18|3.1013|0.560642|3.68135
instanceLarge484_m=5_n=100_l=30_c=10_s=0|3318|3378|19|3.67867|0.626752|4.32694
instanceLarge485_m=5_n=100_l=30_c=10_s=1|6782|6842|4|3.72714|0.158525|3.90579
instanceLarge486_m=5_n=100_l=30_c=10_s=2|794|794|19|3.20527|0.589648|3.81593
instanceLarge487_m=5_n=100_l=30_c=10_s=0|4624|4668|3|3.71168|0.138458|3.87004
instanceLarge488_m=5_n=100_l=30_c=10_s=1|6750|7085|7|3.8767|0.300781|4.1982
instanceLarge489_m=5_n=100_l=30_c=10_s=2|696|696|18|3.17866|0.526115|3.72382
instanceLarge490_m=5_n=100_l=30_c=10_s=0|2196|2196|19|3.49319|0.602668|4.11694
instanceLarge491_m=5_n=100_l=30_c=10_s=1|6713|6684|39|3.64477|1.29103|4.95804
instanceLarge492_m=5_n=100_l=30_c=10_s=2|725|725|19|3.01857|0.567952|3.60623
instanceLarge493_m=5_n=100_l=30_c=10_s=0|2214|2232|38|3.42979|1.22713|4.67867
instanceLarge494_m=5_n=100_l=30_c=10_s=1|6923|6923|20|3.61721|0.643055|4.2812
instanceLarge495_m=5_n=100_l=30_c=10_s=2|684|684|19|3.01407|0.551677|3.5847
instanceLarge496_m=5_n=100_l=30_c=10_s=0|2218|2247|19|3.4349|0.593665|4.04883
instanceLarge497_m=5_n=100_l=30_c=10_s=1|6772|6752|37|3.59515|1.22303|4.84051
instanceLarge498_m=5_n=100_l=30_c=10_s=2|671|672|19|3.00095|0.546211|3.56661
instanceLarge499_m=5_n=100_l=30_c=10_s=0|1432|1432|19|3.23648|0.576521|3.83294
instanceLarge500_m=5_n=100_l=30_c=10_s=1|6789|6789|18|3.56963|0.568475|4.15874
instanceLarge501_m=5_n=100_l=30_c=10_s=2|697|696|36|2.91711|1.0747|4.01214
instanceLarge502_m=5_n=100_l=30_c=10_s=0|795|791|57|3.13435|1.84438|5.00117
instanceLarge503_m=5_n=100_l=30_c=10_s=1|6732|6732|19|3.60881|0.612793|4.24294
instanceLarge504_m=5_n=100_l=30_c=10_s=2|706|707|19|3.03013|0.557916|3.60736
instanceLarge505_m=5_n=100_l=30_c=10_s=0|1689|1695|19|3.39534|0.591991|4.00779
instanceLarge506_m=5_n=100_l=30_c=10_s=1|6659|6659|20|3.59462|0.636994|4.253
instanceLarge507_m=5_n=100_l=30_c=10_s=2|604|605|3|2.97697|0.119063|3.11367
instanceLarge508_m=5_n=100_l=30_c=10_s=0|5382|5434|19|3.63017|0.617567|4.26878
instanceLarge509_m=5_n=100_l=30_c=10_s=1|6758|6834|19|3.58575|0.614049|4.22133
instanceLarge510_m=5_n=100_l=30_c=10_s=2|724|724|19|3.04947|0.561363|3.63039
instanceLarge511_m=5_n=100_l=30_c=20_s=0|1040|1039|38|12.0773|4.35967|16.5126
instanceLarge512_m=5_n=100_l=30_c=20_s=1|9308|9320|19|15.076|2.27665|17.43
instanceLarge513_m=5_n=100_l=30_c=20_s=2|663|664|4|10.9763|0.520736|11.5639
instanceLarge514_m=5_n=100_l=30_c=20_s=0|6948|6948|19|14.9711|2.30711|17.3556
instanceLarge515_m=5_n=100_l=30_c=20_s=1|9482|9482|19|15.1091|2.52625|17.7196
instanceLarge516_m=5_n=100_l=30_c=20_s=2|710|710|19|12.1113|2.53997|14.7328
instanceLarge517_m=5_n=100_l=30_c=20_s=0|4728|4728|19|14.7591|2.33473|17.1721
instanceLarge518_m=5_n=100_l=30_c=20_s=1|9344|9403|10|15.3308|1.42715|16.8429
instanceLarge519_m=5_n=100_l=30_c=20_s=2|833|833|19|11.6949|2.06301|13.8283
instanceLarge520_m=5_n=100_l=30_c=20_s=0|7170|7070|38|15.2698|4.73139|20.0826
instanceLarge521_m=5_n=100_l=30_c=20_s=1|9481|9549|14|14.7223|1.87453|16.6728
instanceLarge522_m=5_n=100_l=30_c=20_s=2|673|673|19|11.422|2.05033|13.5412
instanceLarge523_m=5_n=100_l=30_c=20_s=0|5181|5216|20|15.3352|2.41786|17.83
instanceLarge524_m=5_n=100_l=30_c=20_s=1|9240|9240|19|15.4521|2.36512|17.8957
instanceLarge525_m=5_n=100_l=30_c=20_s=2|663|661|38|11.887|4.31938|16.2927
instanceLarge526_m=5_n=100_l=30_c=20_s=0|2082|2082|19|13.9226|2.21695|16.2148
instanceLarge527_m=5_n=100_l=30_c=20_s=1|9468|9579|19|15.0869|2.42898|17.5971
instanceLarge528_m=5_n=100_l=30_c=20_s=2|686|686|3|10.9092|0.424822|11.4
instanceLarge529_m=5_n=100_l=30_c=20_s=0|809|805|38|11.622|4.29725|15.9949
