NOME_SOLU|VAL_SOLUCAO_INICIAL|QTD_TROCAS_SOL_INCIAL|VAL_SOLUCAO_POS_REFI|QTD_TROCAS_POS_REFI|QTD_ITERACOES|HOUVE_MELHORA|TEMPO_HC|TEMPO_REF|TEMPO_TOTAL 
instance241_m=2_n=15_l=15_c=5_s=0|268|29|268|29|6|não|0,0046365|0,0023404|0,0072983
instance242_m=2_n=15_l=15_c=5_s=1|1078|30|1078|30|5|não|0,0049546|0,0020311|0,0073087
instance243_m=2_n=15_l=15_c=5_s=2|219|26|219|26|6|não|0,0045319|0,0023814|0,0072366
instance244_m=2_n=15_l=15_c=5_s=0|862|26|847|24|7|sim|0,0050204|0,0030578|0,0083912
instance245_m=2_n=15_l=15_c=5_s=1|1122|26|1087|24|7|sim|0,0049761|0,0030521|0,00834
instance246_m=2_n=15_l=15_c=5_s=2|296|24|296|24|6|não|0,004879|0,0023601|0,0075376
instance247_m=2_n=15_l=15_c=5_s=0|639|31|639|31|5|não|0,0048794|0,0021429|0,0073638
instance248_m=2_n=15_l=15_c=5_s=1|1299|32|941|20|15|sim|0,0051874|0,0068979|0,0123705
instance249_m=2_n=15_l=15_c=5_s=2|205|24|205|24|5|não|0,0042667|0,0019528|0,0065242
instance250_m=2_n=15_l=15_c=5_s=0|440|28|440|28|5|não|0,005412|0,0022113|0,0079751
instance251_m=2_n=15_l=15_c=5_s=1|1220|29|1220|29|5|não|0,006057|0,0022115|0,0086146
instance252_m=2_n=15_l=15_c=5_s=2|317|29|293|22|18|sim|0,0050519|0,0080071|0,0133693
instance253_m=2_n=15_l=15_c=5_s=0|362|31|362|31|6|não|0,00514|0,0026487|0,0081596
instance254_m=2_n=15_l=15_c=5_s=1|1271|31|1271|31|6|não|0,0057007|0,0025146|0,0085604
instance255_m=2_n=15_l=15_c=5_s=2|300|29|300|29|6|não|0,0050184|0,002425|0,0077694
instance256_m=2_n=15_l=15_c=5_s=0|229|26|229|26|5|não|0,0047558|0,0020458|0,0071296
instance257_m=2_n=15_l=15_c=5_s=1|1026|31|1026|31|5|não|0,0051386|0,002122|0,0075995
instance258_m=2_n=15_l=15_c=5_s=2|196|27|196|27|5|não|0,0046126|0,0020615|0,0069915
instance259_m=2_n=15_l=15_c=5_s=0|794|31|794|31|5|não|0,0051639|0,0021867|0,0076958
instance260_m=2_n=15_l=15_c=5_s=1|1354|31|1188|25|13|sim|0,0051879|0,0066893|0,0122197
instance261_m=2_n=15_l=15_c=5_s=2|296|25|296|25|5|não|0,0046606|0,0020053|0,0069768
instance262_m=2_n=15_l=15_c=5_s=0|1085|32|1085|32|5|não|0,0051726|0,0022478|0,0077746
instance263_m=2_n=15_l=15_c=5_s=1|1373|32|1373|32|5|não|0,0051733|0,0022265|0,007759
instance264_m=2_n=15_l=15_c=5_s=2|369|29|369|29|5|não|0,0050383|0,0021036|0,0074785
instance265_m=2_n=15_l=15_c=5_s=0|389|33|389|33|5|não|0,0048139|0,0023062|0,0074883
instance266_m=2_n=15_l=15_c=5_s=1|1241|30|1241|30|5|não|0,0052326|0,0021306|0,0077008
instance267_m=2_n=15_l=15_c=5_s=2|244|26|244|26|5|não|0,0045158|0,0021101|0,0069604
instance268_m=2_n=15_l=15_c=5_s=0|536|30|536|30|5|não|0,0049405|0,0021572|0,0074459
instance269_m=2_n=15_l=15_c=5_s=1|1118|30|1118|30|5|não|0,0049531|0,0021846|0,0074879
instance270_m=2_n=15_l=15_c=5_s=2|261|29|261|29|5|não|0,0044288|0,0021319|0,0068984
instance271_m=2_n=15_l=15_c=10_s=0|336|5|293|3|2|sim|0,0028198|0,0008791|0,0038827
instance272_m=2_n=15_l=15_c=10_s=1|394|5|380|3|2|sim|0,0028166|0,0008527|0,0038499
instance273_m=2_n=15_l=15_c=10_s=2|218|5|218|5|3|não|0,0029575|0,0008595|0,0040539
instance274_m=2_n=15_l=15_c=10_s=0|311|7|311|7|2|não|0,0025104|0,0006876|0,0034053
instance275_m=2_n=15_l=15_c=10_s=1|475|7|475|7|2|não|0,0025163|0,0007001|0,0034262
instance276_m=2_n=15_l=15_c=10_s=2|225|7|225|7|2|não|0,0024847|0,000682|0,0033624
instance277_m=2_n=15_l=15_c=10_s=0|396|6|396|6|2|não|0,0024602|0,0007244|0,0034218
instance278_m=2_n=15_l=15_c=10_s=1|450|6|450|6|2|não|0,0023755|0,0007121|0,003317
