NOME_INSTANCIA|MAKESPAN|QTD_ITERACOES|INTER_MELHOR_GLOBAL|QTD_ALTER_MELHOR_GLOBAL|MELHORA_2APT|MELHORA_2SWAP|TEMPO_EXEC
instance484_m=3_n=15_l=15_c=5_s=0_0|359|1000|533|8|1|1|67.5903
instance484_m=3_n=15_l=15_c=5_s=0_1|371|1000|416|7|1|1|68.5064
instance484_m=3_n=15_l=15_c=5_s=0_2|345|1000|530|7|1|1|68.6389
instance484_m=3_n=15_l=15_c=5_s=0_3|345|1000|201|9|1|1|68.1537
instance484_m=3_n=15_l=15_c=5_s=0_4|362|1000|17|4|1|1|67.3126
instance484_m=3_n=15_l=15_c=5_s=0_5|345|1000|928|11|1|1|68.749
instance484_m=3_n=15_l=15_c=5_s=0_6|351|1000|134|7|1|1|67.9119
instance484_m=3_n=15_l=15_c=5_s=0_7|359|1000|158|11|1|1|68.9608
instance484_m=3_n=15_l=15_c=5_s=0_8|359|1000|730|12|1|1|68.6884
instance484_m=3_n=15_l=15_c=5_s=0_9|351|1000|501|10|1|1|68.3272
instance524_m=3_n=15_l=15_c=10_s=1_0|163|1000|79|10|1|1|62.535
instance524_m=3_n=15_l=15_c=10_s=1_1|163|1000|82|10|1|1|62.3259
instance524_m=3_n=15_l=15_c=10_s=1_2|163|1000|67|6|1|1|61.3279
instance524_m=3_n=15_l=15_c=10_s=1_3|163|1000|184|12|1|1|61.4205
instance524_m=3_n=15_l=15_c=10_s=1_4|163|1000|266|9|1|1|61.8164
instance524_m=3_n=15_l=15_c=10_s=1_5|163|1000|356|6|1|1|62.331
instance524_m=3_n=15_l=15_c=10_s=1_6|163|1000|155|11|1|1|61.0198
instance524_m=3_n=15_l=15_c=10_s=1_7|163|1000|360|9|1|1|62.011
instance524_m=3_n=15_l=15_c=10_s=1_8|163|1000|167|8|1|1|61.4431
instance524_m=3_n=15_l=15_c=10_s=1_9|163|1000|205|9|1|1|61.6747
instance536_m=3_n=15_l=15_c=10_s=1_0|147|1000|58|5|1|1|61.016
instance536_m=3_n=15_l=15_c=10_s=1_1|147|1000|3|4|1|1|60.4995
instance536_m=3_n=15_l=15_c=10_s=1_2|147|1000|65|6|1|1|61.0902
instance536_m=3_n=15_l=15_c=10_s=1_3|147|1000|113|8|1|1|61.3532
instance536_m=3_n=15_l=15_c=10_s=1_4|147|1000|127|8|1|1|61.1641
instance536_m=3_n=15_l=15_c=10_s=1_5|147|1000|103|8|1|1|61.8968
instance536_m=3_n=15_l=15_c=10_s=1_6|147|1000|64|8|1|1|61.2313
instance536_m=3_n=15_l=15_c=10_s=1_7|147|1000|59|12|1|1|61.5512
instance536_m=3_n=15_l=15_c=10_s=1_8|147|1000|61|6|1|1|60.8139
instance536_m=3_n=15_l=15_c=10_s=1_9|147|1000|30|6|1|1|60.5115
instance551_m=3_n=15_l=15_c=10_s=1_0|296|1000|321|11|1|1|71.5176
instance551_m=3_n=15_l=15_c=10_s=1_1|296|1000|105|6|1|1|71.0608
instance551_m=3_n=15_l=15_c=10_s=1_2|296|1000|816|10|1|1|73.2016
