NOME_SOLU|VAL_SOLUCAO_INICIAL|QTD_TROCAS_SOL_INCIAL|VAL_SOLUCAO_POS_REFI|QTD_TROCAS_POS_REFI|QTD_ITERACOES|HOUVE_MELHORA|TEMPO_HC|TEMPO_REF|TEMPO_TOTAL 
instance1055_m=3_n=25_l=15_c=10_s=1|513|9|513|9|2|não|0.0067366|0.0014407|0.008591
instance1056_m=3_n=25_l=15_c=10_s=2|314|9|314|9|2|não|0.0066787|0.0011862|0.0082123
instance1057_m=3_n=25_l=15_c=10_s=0|353|8|353|8|2|não|0.0068358|0.0013033|0.0085113
instance1058_m=3_n=25_l=15_c=10_s=1|426|8|426|8|2|não|0.0060719|0.0010516|0.0074348
instance1059_m=3_n=25_l=15_c=10_s=2|234|8|234|8|2|não|0.0060169|0.0010814|0.0074215
instance1060_m=3_n=25_l=15_c=10_s=0|292|11|292|11|3|não|0.0081763|0.0015365|0.0100647
instance1061_m=3_n=25_l=15_c=10_s=1|521|10|521|10|2|não|0.0067481|0.0012277|0.0083125
instance1062_m=3_n=25_l=15_c=10_s=2|261|10|261|10|1|não|0.0060921|0.0007503|0.0071891
instance1063_m=3_n=25_l=15_c=10_s=0|267|9|267|9|2|não|0.0124627|0.0010377|0.0138033
instance1064_m=3_n=25_l=15_c=10_s=1|573|14|573|14|3|não|0.0076173|0.0015858|0.0095679
instance1065_m=3_n=25_l=15_c=10_s=2|245|8|245|8|2|não|0.0069662|0.0010043|0.0082697
instance1066_m=3_n=25_l=15_c=10_s=0|450|10|450|10|2|não|0.0082212|0.0017941|0.0105629
instance1067_m=3_n=25_l=15_c=10_s=1|518|10|518|10|2|não|0.0081045|0.0011477|0.0095891
instance1068_m=3_n=25_l=15_c=10_s=2|271|9|271|9|3|não|0.0080328|0.001694|0.010081
instance1069_m=3_n=25_l=15_c=10_s=0|419|11|419|11|2|não|0.0076122|0.0012972|0.0092892
instance1070_m=3_n=25_l=15_c=10_s=1|544|11|544|11|2|não|0.0065153|0.0019364|0.0088937
instance1071_m=3_n=25_l=15_c=10_s=2|255|12|255|12|3|não|0.0063503|0.0014862|0.0081791
instance1072_m=3_n=25_l=15_c=10_s=0|312|5|312|5|1|não|0.0092763|0.0011357|0.0108929
instance1073_m=3_n=25_l=15_c=10_s=1|405|5|405|5|1|não|0.0066191|0.000628|0.007847
instance1074_m=3_n=25_l=15_c=10_s=2|295|5|295|5|1|não|0.0054897|0.0006355|0.0071569
instance1075_m=3_n=25_l=15_c=10_s=0|462|10|462|10|3|não|0.0069589|0.0015298|0.0088394
instance1076_m=3_n=25_l=15_c=10_s=1|540|9|540|9|3|não|0.0061622|0.0014267|0.0079145
instance1077_m=3_n=25_l=15_c=10_s=2|335|11|335|11|3|não|0.0065952|0.0024391|0.0094149
instance1078_m=3_n=25_l=15_c=10_s=0|435|10|435|10|2|não|0.0059603|0.001101|0.0073892
instance1079_m=3_n=25_l=15_c=10_s=1|589|10|589|10|3|não|0.0055834|0.0020161|0.0086624
instance1080_m=3_n=25_l=15_c=10_s=2|284|6|284|6|2|não|0.0054093|0.0009285|0.006611
instance1081_m=3_n=25_l=20_c=10_s=0|664|18|664|18|2|não|0.0136394|0.0029326|0.0172608
instance1082_m=3_n=25_l=20_c=10_s=1|718|18|718|18|2|não|0.0151071|0.0027603|0.0187201
instance1083_m=3_n=25_l=20_c=10_s=2|303|15|303|15|2|não|0.009254|0.0014766|0.011311
instance1084_m=3_n=25_l=20_c=10_s=0|626|27|626|27|4|não|0.0123511|0.0038343|0.01697
instance1085_m=3_n=25_l=20_c=10_s=1|936|27|936|27|4|não|0.0131422|0.0033936|0.0171678
instance1086_m=3_n=25_l=20_c=10_s=2|307|26|307|26|4|não|0.0150333|0.0047698|0.020908
instance1087_m=3_n=25_l=20_c=10_s=0|420|23|420|23|4|não|0.0182545|0.0064163|0.0257863
instance1088_m=3_n=25_l=20_c=10_s=1|643|19|643|19|3|não|0.0219965|0.0043789|0.0273987
instance1089_m=3_n=25_l=20_c=10_s=2|257|17|257|17|3|não|0.0094454|0.0017949|0.0116482
instance1090_m=3_n=25_l=20_c=10_s=0|353|28|353|28|3|não|0.0110969|0.0034589|0.015213
instance1091_m=3_n=25_l=20_c=10_s=1|796|24|796|24|4|não|0.0104944|0.0039591|0.0156971
instance1092_m=3_n=25_l=20_c=10_s=2|253|25|253|25|5|não|0.0103548|0.0039538|0.0149296
instance1093_m=3_n=25_l=20_c=10_s=0|626|24|626|24|3|não|0.0084036|0.0025488|0.0115406
instance1094_m=3_n=25_l=20_c=10_s=1|818|24|818|24|3|não|0.0079209|0.0025369|0.0110419
instance1095_m=3_n=25_l=20_c=10_s=2|275|15|275|15|3|não|0.0072642|0.0020304|0.0097575
instance1096_m=3_n=25_l=20_c=10_s=0|537|21|537|21|4|não|0.0089913|0.0027098|0.0122069
instance1097_m=3_n=25_l=20_c=10_s=1|746|21|746|21|3|não|0.0092825|0.002273|0.0120774
instance1098_m=3_n=25_l=20_c=10_s=2|265|18|265|18|3|não|0.011433|0.0021862|0.0141165
instance1099_m=3_n=25_l=20_c=10_s=0|547|18|547|18|3|não|0.0102268|0.0021101|0.0128039
instance1100_m=3_n=25_l=20_c=10_s=1|685|18|685|18|3|não|0.0131534|0.0038833|0.0179481
instance1101_m=3_n=25_l=20_c=10_s=2|277|15|277|15|3|não|0.008511|0.0018182|0.0107386
instance1102_m=3_n=25_l=20_c=10_s=0|427|23|427|23|3|não|0.0104417|0.0035639|0.0146343
instance1103_m=3_n=25_l=20_c=10_s=1|803|22|803|22|3|não|0.009145|0.0027882|0.0125316
instance1104_m=3_n=25_l=20_c=10_s=2|296|17|296|17|2|não|0.0102504|0.0029003|0.0140085
instance1105_m=3_n=25_l=20_c=10_s=0|380|21|380|21|2|não|0.00991|0.0018207|0.0122647
instance1106_m=3_n=25_l=20_c=10_s=1|811|20|811|20|3|não|0.0091456|0.0022588|0.0119239
instance1107_m=3_n=25_l=20_c=10_s=2|278|14|278|14|3|não|0.007623|0.0017247|0.0097417
instance1108_m=3_n=25_l=20_c=10_s=0|271|20|271|20|4|não|0.0090012|0.0027483|0.0122504
instance1109_m=3_n=25_l=20_c=10_s=1|783|22|783|22|3|não|0.0130767|0.0031499|0.0168116
instance1110_m=3_n=25_l=20_c=10_s=2|264|19|264|19|4|não|0.0090017|0.0026281|0.0121154
instance1111_m=3_n=25_l=20_c=10_s=0|769|28|769|28|5|não|0.015767|0.0044808|0.0209162
instance1112_m=3_n=25_l=20_c=10_s=1|943|28|943|28|5|não|0.0145846|0.0040594|0.0192812
instance1113_m=3_n=25_l=20_c=10_s=2|227|25|227|25|5|não|0.0137671|0.0041675|0.0185886
instance1114_m=3_n=25_l=20_c=10_s=0|478|26|478|26|4|não|0.0100213|0.0032291|0.0138401
instance1115_m=3_n=25_l=20_c=10_s=1|997|26|997|26|3|não|0.0133496|0.0026038|0.0165468
instance1116_m=3_n=25_l=20_c=10_s=2|332|25|332|25|4|não|0.0103427|0.0033969|0.0143413
instance1117_m=3_n=25_l=20_c=10_s=0|456|27|456|27|4|não|0.0128453|0.0037441|0.0174561
instance1118_m=3_n=25_l=20_c=10_s=1|904|29|904|29|4|não|0.0121871|0.0038354|0.0167385
instance1119_m=3_n=25_l=20_c=10_s=2|231|22|231|22|3|não|0.0100944|0.0022448|0.012931
instance1120_m=3_n=25_l=20_c=10_s=0|740|28|740|28|4|não|0.0123285|0.0039362|0.0170021
instance1121_m=3_n=25_l=20_c=10_s=1|1026|29|1026|29|4|não|0.012411|0.0041644|0.0173563
instance1122_m=3_n=25_l=20_c=10_s=2|272|24|272|24|4|não|0.0113689|0.0028713|0.014775
instance1123_m=3_n=25_l=20_c=10_s=0|677|30|677|30|5|não|0.0157523|0.0053941|0.0219612
instance1124_m=3_n=25_l=20_c=10_s=1|1025|31|1025|31|5|não|0.0149274|0.0047084|0.0204319
instance1125_m=3_n=25_l=20_c=10_s=2|276|28|276|28|5|não|0.013645|0.0045089|0.0188601
instance1126_m=3_n=25_l=20_c=10_s=0|539|28|539|28|3|não|0.0146826|0.00329|0.0186587
instance1127_m=3_n=25_l=20_c=10_s=1|996|30|996|30|5|não|0.0136485|0.0045674|0.0189337
instance1128_m=3_n=25_l=20_c=10_s=2|303|27|303|27|5|não|0.0143396|0.0049526|0.0199134
instance1129_m=3_n=25_l=20_c=10_s=0|763|26|763|26|4|não|0.0137748|0.0035371|0.0179981
instance1130_m=3_n=25_l=20_c=10_s=1|871|26|871|26|4|não|0.0103365|0.0059864|0.0175013
instance1131_m=3_n=25_l=20_c=10_s=2|260|22|260|22|3|não|0.0131696|0.0052348|0.0201356
instance1132_m=3_n=25_l=20_c=10_s=0|654|25|654|25|3|não|0.0110642|0.0024289|0.0140517
instance1133_m=3_n=25_l=20_c=10_s=1|780|25|780|25|3|não|0.0118775|0.0024436|0.0148806
instance1134_m=3_n=25_l=20_c=10_s=2|226|19|226|19|4|não|0.0101405|0.00297|0.0136457
instance1135_m=3_n=25_l=20_c=10_s=0|750|27|750|27|4|não|0.012937|0.0060842|0.020282
instance1136_m=3_n=25_l=20_c=10_s=1|900|27|900|27|4|não|0.0115318|0.0043672|0.0165524
instance1137_m=3_n=25_l=20_c=10_s=2|251|20|251|20|4|não|0.0100353|0.0035577|0.0141107
instance1138_m=3_n=25_l=20_c=10_s=0|510|26|510|26|5|não|0.0123858|0.0039549|0.0169595
instance1139_m=3_n=25_l=20_c=10_s=1|900|27|900|27|4|não|0.0128494|0.0038183|0.0173806
instance1140_m=3_n=25_l=20_c=10_s=2|294|24|294|24|5|não|0.0109394|0.0036902|0.0152014
instance1141_m=3_n=25_l=20_c=15_s=0|327|16|327|16|3|não|0.015084|0.0035717|0.0194784
instance1142_m=3_n=25_l=20_c=15_s=1|804|20|804|20|3|não|0.0165615|0.0043479|0.0219092
instance1143_m=3_n=25_l=20_c=15_s=2|315|15|315|15|4|não|0.0200883|0.0074897|0.0289866
