NOME_SOLU|VAL_SOLUCAO_INICIAL|QTD_TROCAS_SOL_INCIAL|VAL_SOLUCAO_POS_REFI|QTD_TROCAS_POS_REFI|QTD_ITERACOES|HOUVE_MELHORA|TEMPO_HC|TEMPO_REF|TEMPO_TOTAL 
instanceLarge100_m=3_n=50_l=40_c=30_s=0|3303|359|2431|253|116|sim|9,63319|12,0008|21,7054
instanceLarge101_m=3_n=50_l=40_c=30_s=1|8739|360|8739|360|15|não|9,73132|1,63818|11,4702
instanceLarge102_m=3_n=50_l=40_c=30_s=2|635|309|635|309|15|não|7,4491|1,34351|8,87468
instanceLarge103_m=3_n=50_l=40_c=30_s=0|3315|350|3315|350|15|não|9,60383|1,62856|11,3325
instanceLarge104_m=3_n=50_l=40_c=30_s=1|8383|350|7566|312|43|sim|9,87557|5,3615|15,3235
instanceLarge105_m=3_n=50_l=40_c=30_s=2|586|307|586|307|15|não|7,73486|1,47284|9,29829
instanceLarge106_m=3_n=50_l=40_c=30_s=0|1509|347|1424|319|62|sim|9,01728|6,72558|15,8349
instanceLarge107_m=3_n=50_l=40_c=30_s=1|8915|368|6609|266|79|sim|9,35443|9,69074|19,1249
instanceLarge108_m=3_n=50_l=40_c=30_s=2|785|332|778|326|28|sim|8,41649|2,85104|11,3593
instanceLarge109_m=3_n=50_l=40_c=30_s=0|4856|358|3449|248|83|sim|9,00017|10,8565|19,9319
instanceLarge10_m=3_n=50_l=30_c=10_s=0|1394|257|1366|238|37|sim|0,694061|0,263128|0,963318
instanceLarge110_m=3_n=50_l=40_c=30_s=1|8656|360|8656|360|15|não|9,72595|1,64634|11,4737
instanceLarge111_m=3_n=50_l=40_c=30_s=2|630|321|628|318|16|sim|7,45948|1,7025|9,25136
instanceLarge112_m=3_n=50_l=40_c=30_s=0|723|332|711|319|53|sim|8,2888|5,41631|13,7968
instanceLarge113_m=3_n=50_l=40_c=30_s=1|8882|367|8882|367|15|não|9,3341|1,65253|11,0883
instanceLarge114_m=3_n=50_l=40_c=30_s=2|601|310|601|310|15|não|7,28167|1,42897|8,79988
instanceLarge115_m=3_n=50_l=40_c=30_s=0|7286|360|5903|291|35|sim|9,56339|5,10831|14,7534
