NOME_SOLU|VAL_SOLUCAO_INICIAL|QTD_TROCAS_SOL_INCIAL|VAL_SOLUCAO_POS_REFI|QTD_TROCAS_POS_REFI|QTD_ITERACOES|HOUVE_MELHORA|TEMPO_HC|TEMPO_REF|TEMPO_TOTAL 
instance100_m=2_n=8_l=15_c=10_s=0|570|16|346|8|11|sim|0,0027073|0,0080568|0,0111187
instance101_m=2_n=8_l=15_c=10_s=1|740|16|431|8|11|sim|0,0027595|0,0079817|0,0110905
instance102_m=2_n=8_l=15_c=10_s=2|134|14|134|14|3|não|0,002466|0,0021446|0,0051206
instance103_m=2_n=8_l=15_c=10_s=0|451|12|451|12|2|não|0,0017536|0,0012918|0,0035616
instance104_m=2_n=8_l=15_c=10_s=1|579|12|579|12|2|não|0,0017503|0,0012877|0,0034345
instance105_m=2_n=8_l=15_c=10_s=2|153|12|153|12|3|não|0,0020779|0,0019955|0,0045448
instance106_m=2_n=8_l=15_c=10_s=0|459|12|459|12|2|não|0,0019044|0,0013734|0,0036645
instance107_m=2_n=8_l=15_c=10_s=1|508|11|508|11|2|não|0,0019591|0,0013357|0,0037062
instance108_m=2_n=8_l=15_c=10_s=2|136|8|136|8|3|não|0,0020476|0,0015601|0,0039717
instance109_m=2_n=8_l=15_c=10_s=0|261|12|201|8|6|sim|0,0017725|0,0039159|0,0059968
instance10_m=2_n=8_l=15_c=5_s=0|302|15|302|15|2|não|0,0012419|0,0007473|0,0022129
instance110_m=2_n=8_l=15_c=10_s=1|399|12|291|8|6|sim|0,0016868|0,0046782|0,0068267
instance111_m=2_n=8_l=15_c=10_s=2|83|10|83|10|2|não|0,0017292|0,0012335|0,00334
instance112_m=2_n=8_l=15_c=10_s=0|437|11|437|11|2|não|0,0021707|0,0015399|0,0041691
instance113_m=2_n=8_l=15_c=10_s=1|509|11|509|11|2|não|0,002146|0,0015162|0,0041247
instance114_m=2_n=8_l=15_c=10_s=2|123|10|123|10|2|não|0,0020055|0,0013297|0,0037311
instance115_m=2_n=8_l=15_c=10_s=0|111|10|111|10|2|não|0,0017321|0,0014021|0,0035561
instance116_m=2_n=8_l=15_c=10_s=1|476|11|476|11|2|não|0,0017064|0,0013244|0,0034041
instance117_m=2_n=8_l=15_c=10_s=2|82|10|82|10|1|não|0,0017266|0,0009628|0,0031122
instance118_m=2_n=8_l=15_c=10_s=0|278|13|278|13|2|não|0,0020749|0,0013822|0,0038822
instance119_m=2_n=8_l=15_c=10_s=1|571|13|571|13|2|não|0,0020034|0,0014385|0,0038639
instance11_m=2_n=8_l=15_c=5_s=1|793|18|793|18|3|não|0,001358|0,001074|0,0026858
instance120_m=2_n=8_l=15_c=10_s=2|187|13|187|13|2|não|0,0021042|0,0014617|0,003991
instance121_m=2_n=8_l=20_c=10_s=0|793|25|793|25|2|não|0,0046793|0,0028301|0,0083355
instance122_m=2_n=8_l=20_c=10_s=1|1014|25|1014|25|2|não|0,0042605|0,0028355|0,0079223
instance123_m=2_n=8_l=20_c=10_s=2|145|19|145|19|3|não|0,0038926|0,0034095|0,008071
instance124_m=2_n=8_l=20_c=10_s=0|395|23|395|23|3|não|0,0042491|0,0037252|0,0088288
instance125_m=2_n=8_l=20_c=10_s=1|1018|26|1018|26|3|não|0,0044241|0,0039345|0,0092729
instance126_m=2_n=8_l=20_c=10_s=2|197|21|197|21|3|não|0,0040203|0,0033867|0,0081911
instance127_m=2_n=8_l=20_c=10_s=0|825|25|647|20|10|sim|0,0044096|0,0143177|0,0195389
instance128_m=2_n=8_l=20_c=10_s=1|1125|25|867|20|10|sim|0,0043774|0,0138742|0,0190506
instance129_m=2_n=8_l=20_c=10_s=2|148|22|148|22|2|não|0,0050763|0,0027661|0,0086609
instance12_m=2_n=8_l=15_c=5_s=2|141|16|141|16|3|não|0,0012716|0,0010307|0,0025339
instance130_m=2_n=8_l=20_c=10_s=0|235|26|235|26|2|não|0,0046739|0,0030487|0,0086417
instance131_m=2_n=8_l=20_c=10_s=1|853|26|853|26|3|não|0,0044214|0,0039461|0,0092818
instance132_m=2_n=8_l=20_c=10_s=2|168|23|168|23|2|não|0,0042409|0,0028194|0,007901
instance133_m=2_n=8_l=20_c=10_s=0|462|23|462|23|3|não|0,0041336|0,0035357|0,0085005
instance134_m=2_n=8_l=20_c=10_s=1|822|23|822|23|3|não|0,0041445|0,0035595|0,0085506
instance135_m=2_n=8_l=20_c=10_s=2|173|24|173|24|3|não|0,0040581|0,0038079|0,0087282
instance136_m=2_n=8_l=20_c=10_s=0|375|25|375|25|3|não|0,0044724|0,0040772|0,009517
instance137_m=2_n=8_l=20_c=10_s=1|690|25|690|25|3|não|0,0044072|0,0068616|0,0122389
instance138_m=2_n=8_l=20_c=10_s=2|90|22|90|22|2|não|0,0040626|0,0028046|0,0077225
instance139_m=2_n=8_l=20_c=10_s=0|141|19|141|19|3|não|0,0037433|0,0033479|0,0078758
instance13_m=2_n=8_l=15_c=5_s=0|243|18|243|18|3|não|0,0012802|0,0010044|0,0025148
instance140_m=2_n=8_l=20_c=10_s=1|998|25|998|25|2|não|0,0042226|0,0028295|0,0078779
instance141_m=2_n=8_l=20_c=10_s=2|141|19|141|19|3|não|0,0037998|0,0033534|0,0079349
instance142_m=2_n=8_l=20_c=10_s=0|799|25|799|25|3|não|0,0043991|0,0040603|0,0094374
instance143_m=2_n=8_l=20_c=10_s=1|979|25|750|20|10|sim|0,0044037|0,0138151|0,0190216
instance144_m=2_n=8_l=20_c=10_s=2|144|20|144|20|3|não|0,004252|0,0034952|0,0085601
instance145_m=2_n=8_l=20_c=10_s=0|633|24|633|24|3|não|0,0044225|0,0038468|0,0092529
